date,cat,count,text
3/05/2016,economic,7483714.595,Some text
6/05/2016,economic,4988268.511,Some text
9/05/2016,economic,7566544.775,Some text
10/05/2016,economic,5481895.519,Some text
11/05/2016,economic,5510603.286,Some text
12/05/2016,economic,2755011.662,Some text
13/05/2016,economic,2798405.674,Some text
16/05/2016,economic,11478363.2,Some text
17/05/2016,economic,2900443.501,Some text
18/05/2016,economic,8700108.836,Some text
19/05/2016,economic,5799054.501,Some text
20/05/2016,economic,5798240.055,Some text
23/05/2016,economic,5845650.542,Some text
24/05/2016,economic,2946628.933,Some text
25/05/2016,economic,8866174.385,Some text
26/05/2016,economic,11884344.74,Some text
27/05/2016,economic,2970564.192,Some text
30/05/2016,economic,11963565.14,Some text
31/05/2016,economic,12016117.63,Some text
1/06/2016,economic,3003501.292,Some text
2/06/2016,economic,3003290.046,Some text
8/06/2016,economic,12181009.28,Some text
9/06/2016,economic,3061850.515,Some text
10/06/2016,economic,3061635.074,Some text
14/06/2016,economic,3061419.633,Some text
15/06/2016,economic,3086396.383,Some text
16/06/2016,economic,9272785.364,Some text
17/06/2016,economic,9329578.248,Some text
20/06/2016,economic,6287500.333,Some text
21/06/2016,economic,3165641.692,Some text
22/06/2016,economic,3185567.901,Some text
23/06/2016,economic,6428174.129,Some text
30/06/2016,economic,3351693.037,Some text
1/07/2016,economic,6709709.859,Some text
4/07/2016,economic,6715796.057,Some text
5/07/2016,economic,6714849.67,Some text
6/07/2016,economic,6734854.866,Some text
8/07/2016,economic,3370563.156,Some text
11/07/2016,economic,6740413.569,Some text
12/07/2016,economic,3369850.413,Some text
14/07/2016,economic,3369612.832,Some text
18/07/2016,economic,3369375.251,Some text
20/07/2016,economic,3369137.669,Some text
22/07/2016,economic,3368900.088,Some text
25/07/2016,economic,3368662.507,Some text
26/07/2016,economic,3384274.316,Some text
27/07/2016,economic,3403197.619,Some text
28/07/2016,economic,13753275.6,Some text
29/07/2016,economic,3462424.758,Some text
1/08/2016,economic,7078992.842,Some text
2/08/2016,economic,7099708.006,Some text
4/08/2016,economic,3549478.185,Some text
5/08/2016,economic,7132611.638,Some text
8/08/2016,economic,10753640.88,Some text
9/08/2016,economic,10779665.86,Some text
10/08/2016,economic,7185175.112,Some text
12/08/2016,economic,7336317.26,Some text
16/08/2016,economic,3682154.585,Some text
17/08/2016,economic,11149892.29,Some text
18/08/2016,economic,11147528.69,Some text
26/08/2016,economic,7490465.783,Some text
29/08/2016,economic,7511160.965,Some text
1/09/2016,economic,3755182.209,Some text
9/09/2016,economic,7521448.266,Some text
12/09/2016,economic,3779769.474,Some text
14/09/2016,economic,3801494.247,Some text
15/09/2016,economic,3823117.251,Some text
16/09/2016,economic,7674399.121,Some text
19/09/2016,economic,3845432.917,Some text
20/09/2016,economic,19294107.05,Some text
21/09/2016,economic,3895493.993,Some text
22/09/2016,economic,3895218.283,Some text
23/09/2016,economic,3894942.574,Some text
27/09/2016,economic,3894666.865,Some text
30/09/2016,economic,11738562.51,Some text
4/10/2016,economic,11778525.4,Some text
5/10/2016,economic,8085464.919,Some text
7/10/2016,economic,4042302.945,Some text
10/10/2016,economic,4042016.602,Some text
12/10/2016,economic,4041730.259,Some text
13/10/2016,economic,4138303.498,Some text
14/10/2016,economic,4152185.443,Some text
17/10/2016,economic,8339793.624,Some text
18/10/2016,economic,4226834.332,Some text
21/10/2016,economic,4226534.768,Some text
24/10/2016,economic,13195055.74,Some text
25/10/2016,economic,4417697.754,Some text
28/10/2016,economic,4417384.553,Some text
31/10/2016,economic,8836098.627,Some text
1/11/2016,economic,4418713.913,Some text
3/11/2016,economic,8836487.74,Some text
4/11/2016,economic,17697864.53,Some text
5/11/2016,economic,4438667.822,Some text
7/11/2016,economic,8876390.845,Some text
8/11/2016,economic,4437723.022,Some text
9/11/2016,economic,4459474.786,Some text
11/11/2016,economic,8918000.073,Some text
14/11/2016,economic,4458525.288,Some text
15/11/2016,economic,4465671.696,Some text
18/11/2016,economic,8930392.305,Some text
24/11/2016,economic,4464720.609,Some text
25/11/2016,economic,4464403.58,Some text
28/11/2016,economic,8927856.073,Some text
29/11/2016,economic,4463452.493,Some text
30/11/2016,economic,4463135.464,Some text
1/12/2016,economic,4469570.817,Some text
5/12/2016,economic,4469253.308,Some text
6/12/2016,economic,4468935.799,Some text
7/12/2016,economic,4468618.291,Some text
8/12/2016,economic,4492137.164,Some text
9/12/2016,economic,13703684.06,Some text
12/12/2016,economic,4725527.432,Some text
13/12/2016,economic,4725191.55,Some text
16/12/2016,economic,4784805.295,Some text
19/12/2016,economic,9679085.776,Some text
20/12/2016,economic,9754149.014,Some text
21/12/2016,economic,14705446,Some text
23/12/2016,economic,4913273.826,Some text
4/01/2017,economic,4912924.35,Some text
9/01/2017,economic,9824800.275,Some text
10/01/2017,economic,4911875.924,Some text
13/01/2017,economic,4922890.146,Some text
16/01/2017,economic,4922539.862,Some text
18/01/2017,economic,4926169.102,Some text
19/01/2017,economic,9860258.332,Some text
23/01/2017,economic,9874623.301,Some text
25/01/2017,economic,4936784.479,Some text
30/01/2017,economic,9872514.615,Some text
31/01/2017,economic,9871108.825,Some text
1/02/2017,economic,14850970.88,Some text
2/02/2017,economic,9938547.743,Some text
3/02/2017,economic,4976762.83,Some text
6/02/2017,economic,9952462.022,Some text
8/02/2017,economic,4975699.192,Some text
9/02/2017,economic,4975344.645,Some text
10/02/2017,economic,4978531.373,Some text
13/02/2017,economic,4981028.404,Some text
14/02/2017,economic,5000160.464,Some text
15/02/2017,economic,15043489.07,Some text
16/02/2017,economic,20243558.64,Some text
22/02/2017,economic,5078518.294,Some text
24/02/2017,economic,5078156.111,Some text
1/03/2017,economic,10155225.68,Some text
3/03/2017,economic,10154239.97,Some text
6/03/2017,economic,10153254.17,Some text
7/03/2017,economic,5076083.763,Some text
8/03/2017,economic,5084258.94,Some text
9/03/2017,economic,10178677.13,Some text
10/03/2017,economic,5129210.782,Some text
13/03/2017,economic,5128844.671,Some text
15/03/2017,economic,5163970.239,Some text
16/03/2017,economic,10326834.55,Some text
17/03/2017,economic,10412264.48,Some text
20/03/2017,economic,5205574.617,Some text
21/03/2017,economic,5205202.87,Some text
22/03/2017,economic,5445755.939,Some text
23/03/2017,economic,5459824.203,Some text
24/03/2017,economic,5473186.621,Some text
27/03/2017,economic,10968671.75,Some text
28/03/2017,economic,5485082.135,Some text
30/03/2017,economic,11064185.68,Some text
31/03/2017,economic,5579096.746,Some text
3/04/2017,economic,11201430.17,Some text
4/04/2017,economic,11287550.25,Some text
5/04/2017,economic,5643169.979,Some text
6/04/2017,economic,11331428.42,Some text
7/04/2017,economic,11346610.72,Some text
10/04/2017,economic,11354461.56,Some text
12/04/2017,economic,5676621.743,Some text
13/04/2017,economic,22734848.45,Some text
18/04/2017,economic,11413613.69,Some text
19/04/2017,economic,5707717.649,Some text
21/04/2017,economic,22842356.09,Some text
25/04/2017,economic,5721244.291,Some text
26/04/2017,economic,17181318.02,Some text
27/04/2017,economic,5769119.327,Some text
28/04/2017,economic,11742781.15,Some text
1/05/2017,economic,5907426.896,Some text
2/05/2017,economic,5907003.789,Some text
3/05/2017,economic,23625911.67,Some text
4/05/2017,economic,5933427.307,Some text
8/05/2017,economic,11865579.16,Some text
9/05/2017,economic,17849531.21,Some text
11/05/2017,economic,18039239.69,Some text
12/05/2017,economic,18222420.04,Some text
15/05/2017,economic,24684445.02,Some text
17/05/2017,economic,6189465.986,Some text
18/05/2017,economic,12395167.87,Some text
22/05/2017,economic,6222299.914,Some text
23/05/2017,economic,18796808.88,Some text
24/05/2017,economic,6274356.013,Some text
25/05/2017,economic,12594290.2,Some text
26/05/2017,economic,12592482.17,Some text
29/05/2017,economic,6319153.86,Some text
31/05/2017,economic,19149276.49,Some text
2/06/2017,economic,6392906.941,Some text
5/06/2017,economic,6407393.342,Some text
6/06/2017,economic,12813406.08,Some text
7/06/2017,economic,19226983.32,Some text
8/06/2017,economic,19233857.94,Some text
13/06/2017,economic,12834674.87,Some text
14/06/2017,economic,12832829.94,Some text
15/06/2017,economic,12841285.78,Some text
20/06/2017,economic,6437293.508,Some text
21/06/2017,economic,6436830.66,Some text
23/06/2017,economic,12893413.66,Some text
26/06/2017,economic,58549092.99,Some text
27/06/2017,economic,6545180.696,Some text
28/06/2017,economic,26239151.19,Some text
29/06/2017,economic,13140481.23,Some text
30/06/2017,economic,6576644.494,Some text
3/07/2017,economic,6590283.75,Some text
5/07/2017,economic,6606240.435,Some text
6/07/2017,economic,19815866.81,Some text
9/07/2017,economic,6604337.442,Some text
10/07/2017,economic,13215641.77,Some text
12/07/2017,economic,6607106.808,Some text
13/07/2017,economic,26449133.85,Some text
14/07/2017,economic,6622393.345,Some text
17/07/2017,economic,6659488.73,Some text
18/07/2017,economic,6686114.463,Some text
19/07/2017,economic,20118653.54,Some text
20/07/2017,economic,33758589.18,Some text
21/07/2017,economic,13588091.25,Some text
24/07/2017,economic,6826858.213,Some text
25/07/2017,economic,6826365.691,Some text
26/07/2017,economic,13651253.81,Some text
31/07/2017,economic,6824888.122,Some text
3/08/2017,economic,6824395.6,Some text
4/08/2017,economic,6823903.077,Some text
7/08/2017,economic,6823410.554,Some text
8/08/2017,economic,20596299.65,Some text
11/08/2017,economic,13825172.02,Some text
14/08/2017,economic,6930601.556,Some text
17/08/2017,economic,6930101.079,Some text
18/08/2017,economic,13858700.73,Some text
20/08/2017,economic,6928599.649,Some text
22/08/2017,economic,13855697.87,Some text
23/08/2017,economic,20780566.75,Some text
24/08/2017,economic,6926370.254,Some text
28/08/2017,economic,21206735.37,Some text
29/08/2017,economic,7128152.663,Some text
30/08/2017,economic,35855436.81,Some text
31/08/2017,economic,7226649.337,Some text
4/09/2017,economic,14465255.71,Some text
5/09/2017,economic,7231843.207,Some text
6/09/2017,economic,14462117.12,Some text
7/09/2017,economic,7230273.91,Some text
8/09/2017,economic,21723707.46,Some text
11/09/2017,economic,14514326.52,Some text
13/09/2017,economic,7256375.438,Some text
14/09/2017,economic,7268164.021,Some text
15/09/2017,economic,7278020.876,Some text
18/09/2017,economic,14554461.18,Some text
19/09/2017,economic,7276440.301,Some text
25/09/2017,economic,14723232.37,Some text
26/09/2017,economic,7446779.617,Some text
2/10/2017,economic,7446240.308,Some text
3/10/2017,economic,7445700.999,Some text
4/10/2017,economic,7454210.699,Some text
5/10/2017,economic,7453670.734,Some text
9/10/2017,economic,7453130.77,Some text
11/10/2017,economic,14904641.65,Some text
12/10/2017,economic,14925077.27,Some text
13/10/2017,economic,14984656.47,Some text
16/10/2017,economic,22640865.95,Some text
17/10/2017,economic,7570347.633,Some text
18/10/2017,economic,15153010.44,Some text
20/10/2017,economic,15244559.01,Some text
23/10/2017,economic,38134356.87,Some text
24/10/2017,economic,15263170.56,Some text
27/10/2017,economic,7636284.118,Some text
30/10/2017,economic,15270905.89,Some text
31/10/2017,economic,15307732.8,Some text
1/11/2017,economic,15323500.37,Some text
2/11/2017,economic,7662910.688,Some text
3/11/2017,economic,15351796.29,Some text
7/11/2017,economic,7675062.142,Some text
8/11/2017,economic,15360678.8,Some text
10/11/2017,economic,15438463.32,Some text
14/11/2017,economic,15478449.57,Some text
15/11/2017,economic,23276794.29,Some text
16/11/2017,economic,15592603.15,Some text
17/11/2017,economic,15600921.78,Some text
21/11/2017,economic,23459869.01,Some text
22/11/2017,economic,7880335.747,Some text
23/11/2017,economic,7879762.798,Some text
24/11/2017,economic,15791433.35,Some text
28/11/2017,economic,7911668.106,Some text
29/11/2017,economic,15852907.43,Some text
30/11/2017,economic,15850601.3,Some text
1/12/2017,economic,7924435.851,Some text
4/12/2017,economic,15995790.91,Some text
5/12/2017,economic,16058973.08,Some text
8/12/2017,economic,16122140.96,Some text
9/12/2017,economic,8060190.418,Some text
13/12/2017,economic,16144002.27,Some text
14/12/2017,economic,16141651.74,Some text
15/12/2017,economic,8104853.783,Some text
18/12/2017,economic,8109479.164,Some text
19/12/2017,economic,8123540.592,Some text
20/12/2017,economic,16349355.77,Some text
21/12/2017,economic,16394790.55,Some text
9/01/2018,economic,8199951.969,Some text
10/01/2018,economic,16398111.73,Some text
