date,economic,urban,fee,analytic
2017-05-08,11865579.16,22709064.72,11401283.54,2653882.943
2017-05-09,17849531.21,34129331.26,17131944.26,4002408.818
2017-05-11,18039239.69,34166412.99,17144800.13,4032065.725
2017-05-12,18222420.04,34513563.94,17141112.82,4078596.024
2017-05-15,24684445.02,46280797.56,22861325.13,5501404.991
2017-05-17,6189465.986,11579372.55,5721007.393,1381755.643
2017-05-18,12395167.87,23195915.52,11440783.58,2771940.167
2017-05-22,6222299.914,11613308.93,5719776.187,1390979.542
2017-05-23,18796808.88,35026557.3,17156866.15,4202277.887
2017-05-24,6274356.013,11693335.72,5718134.578,1405883.755
2017-05-25,12594290.2,23445806.65,11435037.95,2823325.34
2017-05-26,12592482.17,23490363.83,11564593.41,2840820.992
2017-05-29,6319153.86,11760516.68,5781674.038,1425376.126
2017-05-31,19149276.49,35340875.04,17342531.45,4301919.132
2017-06-02,6392906.941,11789331.33,5781625.559,1438795.617
2017-06-05,6407393.342,11803430.17,5781210.332,1442313.605
2017-06-06,12813406.08,23604317.05,11617766.45,2893205.33
2017-06-07,19226983.32,35401871.23,17450820.33,4355127.479
2017-06-08,19233857.94,35397748.38,17452221.4,4371856.627
2017-06-13,12834674.87,23600858.01,11632724.08,2924481.943
2017-06-14,12832829.94,23631043.48,11671088.47,2935883.004
2017-06-15,12841285.78,23627646.14,11709444.22,2945879.749
2017-06-20,6437293.508,11816613.34,5854090.739,1476848.86
2017-06-21,6436830.66,11815763.72,5857796.697,1478835.377
2017-06-23,12893413.66,23628978.55,11834769.48,2971576.21
2017-06-26,58549092.99,106823142.3,54103598.53,13579276.02
2017-06-27,6545180.696,11998777.67,6046396.654,1530813.752
2017-06-28,26239151.19,47992671.37,24219719.21,6147688.793
2017-06-29,13140481.23,24000447.2,12113658.11,3086945.185
2017-06-30,6576644.494,11998927.63,6056174.946,1546578.589
2017-07-03,6590283.75,11998063.65,6055738.873,1549239.384
2017-07-05,6606240.435,11997199.67,6071734.05,1553082.401
2017-07-06,19815866.81,36027860.74,18214930.07,4672674.055
2017-07-09,6604337.442,12013829.4,6072336.314,1561609.406
2017-07-10,13215641.77,24033055.74,12143360.35,3129593.252
2017-07-12,6607106.808,12019225.77,6071024.039,1567718.941
2017-07-13,26449133.85,48068243.08,24279721.9,6290293.405
2017-07-14,6622393.345,12014895.77,6076121.703,1578209.744
2017-07-17,6659488.73,12014029.77,6075683.752,1582393.31
2017-07-18,6686114.463,12013163.77,6075245.802,1585912.438
2017-07-19,20118653.54,36104995.65,18260265.52,4779434.703
2017-07-20,33758589.18,60328053.25,30517110.63,8033755.287
2017-07-21,13588091.25,24183226.17,12212973.55,3236134.356
2017-07-24,6826858.213,12090304.7,6105826.019,1622946.905
2017-07-25,6826365.691,12090371.47,6105385.515,1624813.161
2017-07-26,13651253.81,24178125.98,12237052.85,3256839.033
2017-07-31,6824888.122,12111430.72,6139557.413,1634085.03
2017-08-03,6824395.6,12119080.58,6139114.348,1636450.767
2017-08-04,6823903.077,12118205.93,6192866.297,1641800.985
2017-08-07,6823410.554,12132642.71,6192419.32,1644616.44
2017-08-08,20596299.65,36721050.58,18628359.11,4978262.985
