date,cat,count,text
2016-11-01,economic,4418713.91,Some text
2016-11-03,economic,8836487.74,Some text
2016-11-04,economic,17697864.53,Some text
2016-11-05,economic,4438667.82,Some text
2016-11-07,economic,8876390.85,Some text
2016-11-08,economic,4437723.02,Some text
2016-11-09,economic,4459474.79,Some text
2016-11-11,economic,8918000.07,Some text
2016-11-14,economic,4458525.29,Some text
2016-11-15,economic,4465671.70,Some text
2016-11-18,economic,8930392.31,Some text
2016-11-24,economic,4464720.61,Some text
2016-11-25,economic,4464403.58,Some text
2016-11-28,economic,8927856.07,Some text
2016-11-29,economic,4463452.49,Some text
2016-11-30,economic,4463135.46,Some text
2016-12-01,economic,4469570.82,Some text
2016-12-05,economic,4469253.31,Some text
2016-12-06,economic,4468935.80,Some text
2016-12-07,economic,4468618.29,Some text
2016-12-08,economic,4492137.16,Some text
2016-12-09,economic,13703684.06,Some text
2016-12-12,economic,4725527.43,Some text
2016-12-13,economic,4725191.55,Some text
2016-12-16,economic,4784805.30,Some text
2016-12-19,economic,9679085.78,Some text
2016-12-20,economic,9754149.01,Some text
2016-12-21,economic,14705446.00,Some text
2016-12-23,economic,4913273.83,Some text
2017-01-04,economic,4912924.35,Some text
2017-01-09,economic,9824800.28,Some text
2017-01-10,economic,4911875.92,Some text
2017-01-13,economic,4922890.15,Some text
2017-01-16,economic,4922539.86,Some text
2017-01-18,economic,4926169.10,Some text
2017-01-19,economic,9860258.33,Some text
2017-01-23,economic,9874623.30,Some text
2017-01-25,economic,4936784.48,Some text
2017-01-30,economic,9872514.62,Some text
2017-01-31,economic,9871108.83,Some text
2017-02-01,economic,14850970.88,Some text
2017-02-02,economic,9938547.74,Some text
2017-02-03,economic,4976762.83,Some text
2017-02-06,economic,9952462.02,Some text
2017-02-08,economic,4975699.19,Some text
2017-02-09,economic,4975344.65,Some text
2017-02-10,economic,4978531.37,Some text
2017-02-13,economic,4981028.40,Some text
2017-02-14,economic,5000160.46,Some text
2017-02-15,economic,15043489.07,Some text
2017-02-16,economic,20243558.64,Some text
2017-02-22,economic,5078518.29,Some text
2017-02-24,economic,5078156.11,Some text
2017-03-01,economic,10155225.68,Some text
2017-03-03,economic,10154239.97,Some text
2017-03-06,economic,10153254.17,Some text
2017-03-07,economic,5076083.76,Some text
2017-03-08,economic,5084258.94,Some text
2017-03-09,economic,10178677.13,Some text
2017-03-10,economic,5129210.78,Some text
2017-03-13,economic,5128844.67,Some text
2017-03-15,economic,5163970.24,Some text
2017-03-16,economic,10326834.55,Some text
2017-03-17,economic,10412264.48,Some text
2017-03-20,economic,5205574.62,Some text
2017-03-21,economic,5205202.87,Some text
2017-03-22,economic,5445755.94,Some text
2017-03-23,economic,5459824.20,Some text
2017-03-24,economic,5473186.62,Some text
2017-03-27,economic,10968671.75,Some text
2017-03-28,economic,5485082.14,Some text
2017-03-30,economic,11064185.68,Some text
2017-03-31,economic,5579096.75,Some text
2017-04-03,economic,11201430.17,Some text
2017-04-04,economic,11287550.25,Some text
2017-04-05,economic,5643169.98,Some text
2017-04-06,economic,11331428.42,Some text
2017-04-07,economic,11346610.72,Some text
2017-04-10,economic,11354461.56,Some text
2017-04-12,economic,5676621.74,Some text
2017-04-13,economic,22734848.45,Some text
2017-04-18,economic,11413613.69,Some text
2017-04-19,economic,5707717.65,Some text
2017-04-21,economic,22842356.09,Some text
2017-04-25,economic,5721244.29,Some text
2017-04-26,economic,17181318.02,Some text
2017-04-27,economic,5769119.33,Some text
2017-04-28,economic,11742781.15,Some text
2017-05-01,economic,5907426.90,Some text
2017-05-02,economic,5907003.79,Some text
